,name,steam_review_score,steam_total_positive,steam_total_negative,price_initial,steam_genres,steam_categories,total_recommendations,release_date,short_description,required_age,developers,steam_id
4106,CONTINGENCY,0,4,0,0,"Action, Adventure, Indie, RPG","Single-player, Full controller support",,"Aug 26, 2019","Surviving is the least of your worries. After your cargo ship crashes on a foreign planet, not only will you have to find a way to eat, you'll have to survive the terrors of your fear and stress. Roguelite platforming gameplay will keep you frequently choosing weapon and suit upgrades to best defeat your many demons.",0,Matthew Prater,905070
4107,Pineview Drive - Homeless,5,7,9,1799,"Action, Adventure","Single-player, Steam Achievements",,"Apr 5, 2019","Join former Army soldier Miles Roberts as he wanders into the old estate at the bottom of Pineview Drive on a stormy night. From here begins a nightmare, from which it is necessary to escape.",0,VIS-Games,905090
4108,Defense: Abominations,7,23,3,299,"Action, Indie, Strategy","Single-player, Steam Achievements, Steam Leaderboards",,"Aug 23, 2018","Defense: Abominations is a first person tower defense game where you try to survive the abominations stored in the laboratory, as long as you can.",0,Ominous Entertainment,904130
4109,Ashes,0,6,3,399,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements",,"Oct 26, 2018","Ashes is a first person narrative with melee combat, puzzles and light platforming. It is a mix between games like skyrim and a walking simulator, a short experience to be enjoyed in one sitting where you can explore a dungeon and be immersed in the character's story and the adventure.",0,WindLimit,904160
4110,Path to Valhalla,0,0,0,,"Action, Adventure, Indie","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Full controller support, Remote Play Together",,Under Development,"Welcome to the devastated world of Path To Valhalla. You??ll help Enki, a worthy ANUNNAKI from the Sirian civilation at Mother Earth, to find Anubis?? lost child, Kalilah. They will face one main challenge ahead: to free all humans from slavery by the hands of the Warlord Khao R??.",0,DCF Studios,904230
4111,Initial 2 : New Stage,6,25,9,2499,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats",,"Oct 18, 2018",?€?Initial ????€? is a fast-paced hack &amp; slash featured Action RPG. It tells a tale of both the super-power war and the friendship. Our Heroine wields 4 types of weapons and can dynamically switch between them at will. Hope you like it!,0,Restory Studio,904310
4112,My Holiday,0,1,0,499,"Casual, Indie, RPG","Single-player, Partial Controller Support",,"Aug 21, 2018",???????????????RPG?????????????????????????????€?????????3??????????????????????€???????5????????????????€?????€???????????????????????????€????€??????????????????????????????€??€?????????????????€???????????????????€?,0,StellarXiela,904320
4113,Marbledrome: Crazy Stunt Balls,0,1,1,299,"Indie, Racing",Single-player,,"Aug 13, 2018","Original game system, novel, fun and different from any game of racing balls. Compete against other players from around the world to get the best time on each track.",0,PalveGames,904340
4114,Family Man,8,111,25,1999,"Adventure, RPG","Single-player, Steam Achievements, Full controller support",,"May 22, 2020","You owe us money, Joe, and we plan to collect. We don't care where it comes from, but you'd better not skip town on us. Otherwise your family will be searching the river for your body.",0,Broken Bear Games,904360
4115,Vambrace: Cold Soul,6,90,34,2499,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV",,"May 28, 2019","Vambrace: Cold Soul is a story-driven roguelite set amidst a frozen landscape. Plan expeditions, then journey to the cursed city surface with your party. Wield unique powers, avoid traps, brave strange encounters, and survive deadly combat in this gothic fantasy adventure!",0,Devespresso Games,904380
4116,Cardpocalypse,7,36,1,2499,"Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",,"Oct 12, 2020","Make friends, play cards, twist the rules, become a Mega Mutant Power Pets master, and try to save the world in this single-player RPG about being a 90's kid.",0,Gambrinous,904400
4117,Fishing Simulator,0,0,0,,"Casual, Indie, Simulation",Single-player,,2018/1/8,"Avoid the crocodile attack or angry shark while casting a fishing rod! Love building, constructing and have a hobby called fishing? Catch the best fish (marlin, shark, goldfish, catfish, salmon etc.) or an old shoe or?€? a mermaid!",0,Bleeding Edge Studio,904410
4118,Swing the cat,0,2,0,99,"Casual, Indie, Sports","Single-player, Steam Leaderboards",,"Oct 15, 2018","Have you ever wondered if your room is too small to swing a cat? Disclaimer: We have no responsibility should the answer be 'No' and you hit your controller based cat off a wall, monitor, television or significant other. Swing your cat around, build up speed and let it go! How far will it go? No one knows.",0,Lazarus Software,904430
4119,Type Defense,5,24,12,99,"Casual, Indie, Strategy","Single-player, Steam Achievements",,"Jul 18, 2018","Write to fight! Desert bandits are coming, defend your castle! Everyone knows typing is the best way to use a ballista!",0,G??ksan G??ner,904440
