,name,steam_review_score,steam_total_positive,steam_total_negative,price_initial,steam_genres,steam_categories,total_recommendations,release_date,short_description,required_age,developers,steam_id
0,Scallywag's Honor,0,0,0,,"Action, Adventure, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud",,Coming soon,"The Caribbean Sea, your sea, has been the home of true freedom for ages. Calico Jack, William Kidd, and many other great pirates had sailed these waters in the past.",0,Crazy Goat Games,1083150
1,Disc Creatures,8,60,4,1499,"Adventure, Casual, Indie, RPG","Single-player, Partial Controller Support",,"Oct 17, 2019","Humans live alongside creatures, each with different personalities, abilities, and moral codes. The invention of the DiscKid has changed life for everyone. Humans can copy creatures and use their power to help others and solve mysteries around the world.",0,PICORINNE SOFT,1083190
2,????????????/Rune Girl,5,41,21,99,"Adventure, Casual, Indie, RPG","Single-player, Steam Cloud",,"Jun 28, 2019","This is a &quot;leisure&quot; game with a fine style and a mysterious world following the plot. In this world, there will be a variety of girls, cute cats who have lost their way, and docile maids who have done something wrong. Slavery your evil little witch, what choices should you make in the face of their challenges?",0,ADOG,1083210
3,PokeyPoke,0,0,0,,"Action, Indie","Single-player, Full controller support",,When it's done???,Stab stuff and find shiny things.,0,Shaun Spalding,1083230
4,Wingsuit: Gudvangen,0,0,2,799,"Action, Simulation, Sports","Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards",,"Jun 25, 2019","Take to the skies in Wingsuit: Gudvangen and pursue the daredevil career of a professional wingsuit pilot with the action turned up to 11. Put on one of the wingsuits at your disposal, choose an exit point, and make Gudvangen your playground.",0,Ninja Whale Studios,1083260
5,HeroOfMetal-Episode01,0,1,0,99,"Action, Indie","Single-player, Partial Controller Support",,"Jun 13, 2019",Cyberpunk 2d pixel style Single player Shooting game. The player will play the role called &quot;Rayn&quot; will going to get involved in this world.,0,Blacksmith Game  Studio,1083270
6,Life of a Capitalist,0,2,5,999,"Adventure, Casual, Indie, Simulation",Single-player,,"Sep 20, 2019",This is a minimalist game with economy theme. You play as a capitalist investing in promising initiatives to prosper. You should examine and decide on different investment opportunities for each turn.,0,Demir Leylek,1083290
7,Drill Deal,0,0,0,,"Casual, Indie, Simulation, Strategy",Single-player,,Coming soon,Drill Deal is a unique simulator in a fun style that will draw you for hours. It's a building simulator like never before. Feel the thrill of a drill hitting underwater oil fields. Sell the precious substance and make your oil rig more efficient.,0,A2 Softworks,1083300
8,OUTBUDDIES DX,6,49,19,1799,"Action, Adventure, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play Together",,"Oct 15, 2019","Run, gun and explore an open undercity in this otherworldly non-linear Metroidvania adventure about the Old Gods, strange creatures and the remnants of a lost world!",0,Julian Laufer,1083310
9,SRX,0,2,0,999,"Casual, Indie, Racing, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards",,"May 7, 2020",Fly anything you want and reach the top of the world rankings! Will you be fast enough ?,0,Arokma Studio,1083350
10,The Stars Between Us,0,0,0,,"Casual, Indie",Single-player,,"May 1, 2020","Step into VR and take part in a love story that is out of this world! The vastness of space separates our two heroes, and only you can bring them together. Experience intuitive and immersive gameplay as you travel between planets and stars, solving 3D puzzles at your own pace.",0,Invrse Reality,1083380
11,Coast team,0,0,1,99,"Action, Adventure, Indie",Single-player,,"May 24, 2019","Located on an island off the coast (third-person view), players can try out a variety of weapons.Players are free to explore the islands,The premise is to avoid the attack of the enemy and kill the enemy, otherwise the player will die,Players can choose the appropriate terrain and appropriate weapons to deal with a variety of enemies.",0,Eddie,1083410
12,Commander Babes,7,18,3,1199,Casual,"Single-player, Steam Achievements",,"Jun 14, 2019","From out of an old vase emerge two Sengoku Era generals but... they're hot babes?! Our protagonist Jun finds himself responsible for helping Uesugi Kenshin and Takeda Shingen adapt to modern Japan, as well as fulfilling their (after)life-long regret of not experiencing the joy of motherhood.",0,Norn,1083420
13,Snow Jewels,0,0,1,299,"Action, Casual, Indie, Strategy","Single-player, Partial Controller Support",,"May 30, 2019","In this chilling match3 adventure, the Snow Dragon's icy breath is ready to destroy all it touches in the Mountain Lands. Only the magic of the Snow Jewels can stop the ruthless monster. Collect chains of gems and help bring back peace and tranquility to the Mountain Lands!",0,Joyful Software,1083430
14,Tricky Fox,0,2,0,99,Casual,"Single-player, Steam Achievements, Full controller support, Steam Cloud",,"May 23, 2019","Help this little fox by jumping on tiles but don?€?t fall down! Tricky Fox is the sequel to Tricky Cat with all new gameplay, graphics, music, sounds, and much more levels. Are you able to challenge yourself again?",0,NanningsGames,1083450
15,Rencia,0,3,0,499,"Action, Indie, Strategy, Early Access","Single-player, Steam Cloud",,"Aug 6, 2019","Rencia is an easy to learn action RTS game. Build your base, set an attack flag for your army, then join the battle as a top down shooter hero!",0,Imposter Game Studios,1083460
16,Armadusa,0,0,0,0,"Action, Casual, Free to Play, Indie, Massively Multiplayer, RPG","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op",,"May 24, 2019","100% free retro indie game with dungeons, treasures and online co-op!",0,WVV Games,1083480
17,Drumpf: Presidential Dating Simulator,0,2,3,299,"Adventure, Casual, Indie, RPG, Simulation",Single-player,,"Jun 21, 2019","Drumpf: Presidential Dating Simulator is the nightmarishly sexual, adults only dating sim parody THEY don't want you to play?€? think you've got what it takes to seduce a fat, orange president before it's too late?",0,Great Idea Games,1083490
18,PhilGood,0,0,0,999,"Indie, Early Access",Single-player,,"Aug 5, 2019","PhilGood is not ON a wire ... but stucked IN the line ! - It?€?s a game of adventure with puzzles and a strong script. Original and mysterious messages, decoding and a unreleased soundtrack.",0,Phil Bod,1082620
19,Link the animals,0,1,0,99,"Casual, Indie, Strategy","Single-player, Steam Achievements",,"Jun 1, 2019","A relaxing, challenging puzzle game.",0,Wesoft Solutions,1082650
20,The Walking Dead Onslaught,4,185,316,2999,"Action, Adventure, Indie, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud",,"Sep 29, 2020","There?€?s no rest when survival is on the line. Step into AMC?€?s The Walking Dead and prepare for an onslaught of walkers as you assume the roles of your favorite characters from the show, and confront the horrors and humanity of this apocalyptic new world.",0,Survios,1082680
21,Super Army of Tentacles: (Not) A Cthulhu Dating Sim,0,0,0,,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements",,2022,"The apocalypse is in full swing! Date Elder Gods, lead armies against humanity, win back the Dreamlands - and all of reality as you know it - in this cosmic horror-comedy RPG.",0,Stegalosaurus Game Development,1082690
22,Dinosaur Shakespeare: To Date or Not To Date?,0,0,1,999,"Adventure, Indie","Single-player, Steam Achievements",,"Feb 13, 2020",A dating sim about the end of the world.,0,Stegalosaurus Game Development,1082700
23,Click Legends,5,10,5,299,"Adventure, Casual, Indie, RPG, Simulation, Strategy","Single-player, Steam Achievements",,"May 29, 2019","Join your Legendary Heroes in a battle for strength in CLICK LEGENDS. A Clicker - Incremental - Management game. Battle your way through a variety of enemies by leveling up your heroes, empowering them, and finding them equipment! Click your way to victory!",0,Mad Labyrinth Studios LLC,1082720
24,Niara: Rebellion Of the King Visual Novel RPG,0,0,0,499,"Indie, RPG",Single-player,,"May 31, 2019","Explore the vast land of Kruuthvaal, fight enemies and restore peace in the kingdom in this Visual Novel RPG",17,Redseed Game Studio,1082730
25,Wacktory,0,0,0,0,"Casual, Indie, Simulation","Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together",,"Sep 13, 2019","Wacktory is the 2019 UCSC Games Showcase Grand Prize Winning - Best In Show - VR + Couch Co-op title. Over 6 months in our senior year, a team of 12 undergraduates took Wacktory from initial concepts to a full playable demo.",0,"Talon Baker, Dustin Halsey, Salvador Galindo, Josh Clouse, Jeremy Lafond, Zack Lawrence, Reed Scriven, Sandra Tiu Latt, Nichole Wilkinson, Terence So, Herman Wu, Taylor Reyland",1082750
26,Paper Shakespeare: Cthulhu Coriolanus,0,0,0,299,"Adventure, Indie","Single-player, Steam Achievements",,"Oct 18, 2019",Enter a war-torn Rome based on Shakespeare's 'Coriolanus'. Save war-torn Rome based on Shakespeare's 'Coriolanus'. Don't save war-torn Rome based on Shakespeare's 'Coriolanus'. It's really up to you. 50% of sales go towards the Wounded Warrior Project and Feast of Crispian.,0,Stegalosaurus Game Development,1082760
27,ADM 2(WHEN WORLDS COLLIDE),0,0,0,799,"Action, Adventure, Indie, RPG, Strategy",Single-player,,"Jun 14, 2019","OUR STORY CONTINUES WITH OUR GREAT HEROES CONTINUING THE GREAT BATTLE FOR EARTH. ANGELS,DEMONS AND MEN 2(WHEN WORLD COLLIDE) is a difficult apocalytic hack n slash RPG. Take control of various unique characters,master various skills and spells,slay enemies and save the world.",0,SMARTOLIVEGAMES LTD,1082780
28,Simgirls: Lovemore College RPG,0,3,0,299,"Adventure, RPG","Single-player, Full controller support",,"Aug 2, 2019",A classic RPG from the Simgirls series.,0,Blackspears Media Inc.,1082860
29,"Sudoku Monster - 49,151 Hardest Puzzles",0,0,0,,"Casual, Indie, Strategy",Single-player,,"Jun 14, 2019",Tens of thousands of hardest Sudoku puzzles waiting for you to solve.,0,XU FENG,1082900
30,The Signifier,7,35,6,1999,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud",,"Oct 15, 2020","Journey from the real world into the surreal realms of objective memories and subjective experiences in this psychological thriller. Experimental parapsychology, artificial intelligence, and technology intersect to solve puzzles, unravel dialog, and seek the truth.",0,Playmestudio,1082930
31,Pop'n'splat,0,2,2,499,"Casual, Indie",Single-player,,"Jun 4, 2019",Arm yourself with your trusty mouse an check out this gumball-themed arcade bubble shooter that requires careful planning for puzzle levels and some fast reflexes for time and infinite modes. Matching music and cartoon sound effects complete this fun and challenging game.,0,FunRefined,1082940
32,Archaelund,0,0,0,,"RPG, Early Access","Single-player, Steam Achievements, Steam Cloud",,Summer 2021 (Early Access),"Explore a vast open world and crawl through dungeons in first person, then fight tactical turn-based battles from a top-down perspective. Guide your adventuring party through Archaelund, mankind's last frontier, and uncover its many secrets.",0,4 Dimension Games,1082970
33,D.A.M.A.G.E,0,0,0,199,"Casual, Indie","Single-player, Steam Achievements",,"Jul 18, 2019","Before you strategy with a unique gameplay. Take control of the squad heavy machinery, which you can collect from different parts and go into battle!",0,Damage Team,1082990
34,The Last Town,0,0,0,99,"Adventure, Indie, RPG",Single-player,,"May 30, 2019","How many deaths will it take to save the world? Zero? Don't even think about it! You're facing an army! You're just a nurse,pretty but weak.",0,"Shenzhen Arabian Nights Technology Co.,Ltd",1083000
35,Sapper - Defuse The Bomb Simulator,5,6,4,999,"Action, Adventure, Simulation, Early Access","Single-player, Steam Achievements",,"Mar 11, 2021","Learn the ins and outs of one of the world's most dangerous professions. Searching, lockpicking, hacking, disarming, operating under pressure. Welcome to the typical day of Sapper. Courage is forged in the sounds of ticking bombs and the feeling of cold sweat on your back.",0,Live Motion Games,1083070
36,Naked and Afraid: The Game,0,0,0,,"Action, Adventure, Simulation",Single-player,,Coming Soon,"Enter the challenge for the true survivors. Choose a contestant with unique traits, grab a survival tool and try to endure for 21 days on the deserted island of the Pacific Ocean. Hunt, cook and survive everchanging weather, tropical rains and unbearable heat.",0,WeAreWild,1082410
37,hack.88,7,15,0,499,"Action, Indie",Single-player,,"Jul 19, 2019","Master the challenging controls to swing from node to node, uncovering hidden patterns and avoiding enemies in this game inspired by classic action puzzle games. Hack through the 88 terminals of Waylife Bank to uncover the secrets of their illegal practices.",0,Whomp! Studio,1082440
38,Ninja Turdle,0,5,0,499,Indie,"Single-player, Steam Achievements, Full controller support",,"Feb 14, 2020","Ninja Turdle sets out to destroy all the parasites in order to save his creator, Steve.",0,Kenny Cason,1082460
39,Mystery Case Files: Key to Ravenhearst Collector's Edition,7,13,0,999,"Adventure, Casual",Single-player,,"May 17, 2019",Can you find the key to Ravenhearst's resurrection?,0,Eipix Entertainment,1082470
40,Buzz Kill Zero,0,1,0,999,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards",,"Nov 15, 2019",Buzz Kill??? Zero takes gameplay influenced from retro 80's arcades &amp; blends it with elements of modern bullet-hells. Use your ship's weapons &amp; abilities to conquer the 5 Missions... &amp; everyone else's scores on the leaderboards!,0,Kaleb Parham,1082480
41,Hentai Girls: Christmas,0,0,2,99,"Casual, Indie","Single-player, Steam Achievements",,"May 23, 2019",An erotic puzzle game to keep you in a good mood.,0,DH Entertainment,1082490
42,Grim Tales: The Vengeance Collector's Edition,0,3,0,999,"Adventure, Casual",Single-player,,"Jun 7, 2019","When his sister is murdered, you must prove your nephew?€?s innocence!",0,Elephant Games,1082500
43,Tower Ascend,0,0,0,199,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, Remote Play Together",,"Jun 20, 2019","Dash, wall-jump, and use power-ups to escape your doom and reach new heights in this infinitely scrolling platformer. Play on your own and try to reach new heights, or play with up to four local players in a fight to become the last man standing!",0,Jonas Dall,1082520
44,jwing - the next puzzle game,0,2,0,499,"Casual, Indie, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen",,"May 30, 2019","An indie casual strategy game with fascinating gameplay mechanics. Think tetris meets a match three bubble shooter with a dynamically changing field. Easy to learn, difficult to master, with endless replay value. Develop strategies and unlock features to climb up levels and achieve the best score.",0,Games with Colours,1081990
45,A Night at the Races,7,12,0,999,"Action, Casual, Indie","Single-player, Steam Achievements, Full controller support",,"Dec 13, 2019","Help Nathan beat an adrenaline-packed platformer as part of a tournament, to grab the prize and pay his debts.",0,Mushy Jukebox,1082000
46,HentaiNYA,6,10,3,99,"Casual, Indie","Single-player, Steam Achievements",,"May 21, 2019","The game is a classic puzzle. You have to go through all ten stages, as well as three levels of difficulty, in which pleasant surprises await you...",0,Zloy Krot Studio,1082110
47,TT Isle of Man - Ride on the Edge 2,6,121,41,3999,"Racing, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Cloud",,"Mar 19, 2020",Racing across an over 60 km long ultra-technical track at breakneck speed requiring realistic riding skills... that is the challenge that awaits in TT2!,0,KT Racing,1082180
48,ASTRO: The Beginning,0,0,0,,"Action, Adventure, Indie","Single-player, Steam Achievements",,Q4 2020,ASTRO: The Beginning is a dynamic side scrolling shoot 'em up about a close-knit space team caught in a clusterf*ck of epic proportions.Unravel the evil plans of your foes and secrets of world order while taking down various types of enemies and engaging in crazy boss battles.,0,BigGame Studio,1082200
49,Outbreak: Epidemic,0,5,3,999,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Stats, Remote Play Together",,"Feb 11, 2020","Return to the world of 4-player co-op survival horror with classic gameplay, strict inventory management, crushing enemies, horrific difficulty and more as you and a group of survivors try to survive the epidemic.",0,Dead Drop Studios LLC,1082220
50,Taboos: Flower,0,0,0,99,"Casual, Indie, Strategy","Single-player, Steam Achievements, Steam Cloud",,"Jan 5, 2020",Go through the maze of leisure small game.,0,WEIWEN,1082240
51,Born of Fire,0,0,0,0,"Free to Play, RPG, Strategy, Early Access","Single-player, Multi-player, PvP, Online PvP",,"Sep 4, 2019","The free trial version of Born of Fire includes the fully integrated Roguelike tower mode, card upgrade system, chest system, and the exciting worldwide 1 vs 1 match mode. Initially, there will be two heroes with different features: Commander and Mage.",0,Leaf Boat Studio,1081470
52,Hyper Bit Chasm,0,0,0,399,"Action, Adventure, Indie","Single-player, Partial Controller Support",,"Jun 3, 2019",Hyper Bit Chasm is an epic adventure game filled with fast paced action every step of the way. Embark down a deep and treacherous chasm utilizing a brilliant 8-bit retro aesthetic!,0,Michael Johnson,1081490
53,Side Decide,0,0,0,,Indie,"Single-player, Steam Achievements, Full controller support, Stats",,Jul 2021,"The puzzle game that harks back to your childhood. Roll the cube across the board to the end. You can only roll onto a block with the corresponding face. On a circle, you can rotate opening up further choices and paths. Many more block types to be revealed.",0,Blue Volcano Studio,1081500
54,She Sees Red,8,242,52,799,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud",,"Jul 11, 2019","She Sees Red is a mature, hard-boiled interactive thriller. When someone is killed inside a nightclub, an experienced detective vows to put the murderer behind bars. Make choices that affect the narrative and experience several different endings in this blood-red interactive movie.",0,Rhinotales,1081510
55,Crazy Beat's Junction,0,0,0,499,"Action, Indie, Early Access","Single-player, Full controller support",,"Jun 28, 2019",Crazy Beat's Junction is Rhythm Action Game.Press buttons and move cars on the road to the goal.Make the best traffic control.,0,indie-du,1081540
56,Caliper 2,0,6,0,99,Indie,"Single-player, Full controller support",,"May 22, 2019","Caliper 2 is an absolute, turn-based puzzle. By manipulating objects with different properties, you need to put some object on the button and enter the portal.",0,Dima Kiva,1081550
57,GOLD EXPRESS,6,60,23,1499,"Action, Adventure, Indie, Strategy, Early Access","Multi-player, PvP, Online PvP, Co-op, Online Co-op",,"Sep 27, 2019",New AI character &quot;Punch&quot; is available now! Welcome to the Project &quot;Gold Express&quot;! It is a cyberpunk style asymmetric multiplayer game in which you can get new survival experience with your teammates with various abilities in the strategic maps.,0,DAWN STUDIO,1081560
58,Fractal Gallery VR,0,0,1,499,"Casual, Indie, Design & Illustration, Education","Single-player, Steam Achievements",,"Jun 6, 2019",A cozy place in which you can relax from everyday life looking at the beauty of mathematics.,0,Savestar Games,1081600
59,SILICON RISING,6,95,36,1999,"Action, Adventure, Indie, Racing, RPG, Simulation, Sports, Early Access",Single-player,,"Feb 13, 2020","Choose from Arcade style or free locomotion to immersed in a vivid Cyberpunk world. Enemy bullets scream by you from all directions, dodging bullets and wipe out your enemies. From taking cover behind debris while surrounded to gunning and driving at the same time.",0,KUKRGAME,1081610
60,Yet Another Level,0,2,0,500,"Adventure, Casual, Indie",Single-player,,"Jul 13, 2019","I?€?m a high-school student and this is my first trial experiencing in game design. Yet Another Level is a 3D dungeon adventure game where the map is procedure generated. As you play along and explore treasures, you?€?ll surprisingly found out all the weapons or abilities are based on Urban Dictionary (Agglomerate etc).",0,Weichu Gu,1081630
61,Celaria,8,60,9,1499,"Indie, Racing","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Steam Achievements, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor",,"Oct 12, 2019",Celaria is a first-person racing parkour platformer in which the player races against the time on various tracks. Find the fastest path to the goal and take advantage of the environment in order to improve your runs as much as possible.,0,Lewa,1081650
62,Fitforce,0,0,1,0,"Action, Casual, Free to Play, Indie, Sports","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, In-App Purchases",,"Jan 28, 2021","No matter what happens outside, keep exercising at home using only a computer and a smartphone. Your workouts won?€?t be boring ever again with entertaining and interactive gameplay. Have fun and be healthy with Fitforce.",0,Runnex Technology,1081670
63,Most Correct Football Simulator,0,4,2,99,"Action, Casual, Indie, Simulation, Sports",Single-player,,"May 21, 2019",Most Correct Football Simulator ?€? a physics-based soccer simulator. The main feature of the game is the unpredictable behavior of the players on the pitch.,0,Kiddy,1081710
64,Robo Run,0,0,1,99,"Adventure, Casual, Indie",Single-player,,"May 26, 2019",Robo Run - This is an adventure game on the speed of reaction.,0,cBlck,1081720
65,Easter Clicker: Idle Manager,0,0,0,0,"Casual, Free to Play, Indie, Simulation, Strategy","Single-player, In-App Purchases",,"May 21, 2019",Help save Easter in this idle builder game! Harvest resources and manage your times wisely!,0,Autotelic Games LLC,1081740
66,BAFF,0,4,5,199,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud",,"May 20, 2019","Minimalist, hardcore and challenging game in the genre of avoid-em up that will test your reflexes, timing and planning! This game is hard as hell!",0,Blender Games,1081760
67,Aisu Paradise,7,11,2,799,"Casual, Indie",Single-player,,"May 24, 2019","The ice-cream parlor, Della Puena is in a difficult situation and while Tetsuya may have other motivations in life, he's there to help his lovely manager right the ship. With a cute new, employee joining the crew, Tetsuya has his hands full focusing on either of them, or both.",0,Maranyo Games,1081780
68,101010,0,0,0,0,"Casual, Free to Play, Indie",Single-player,,"Oct 3, 2019",A simple puzzle game. Place 3D blocks in virtual reality and clear lines to earn points. How high of a score can you earn?,0,"Jenny Chen, Changcheng Fu, Hunter Huynh, Miranda Liu, Eric Shen",1081800
69,?????????,0,0,0,0,"Action, Adventure, Free to Play, Indie, Massively Multiplayer, RPG, Strategy","Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, In-App Purchases",,"Jun 11, 2019",???????????????????????????????????????&amp;iOS&amp;PC???????????????11???1?????????10:00????????€????€?????????????????????????????????????????????????????????????1. XXUK8XPTHM2. 6BE263F33X3. PT7KHG2VR6??????????????????????????????????????????????????????????????????????????????????????????????????????QQ??????460219387????????????????????????www.chronoportal.,0,JT Interactive Entertainment,1081810
70,The Plight,0,0,0,,"Adventure, Indie, Simulation, Early Access",Single-player,,TBA,The Plight is a first person Malaysian Chinese themed horror game surrounding the mystery of gruesome murders committed by an old woman in her home nearly two decades before. Three childhood friends disappeared more than a decade ago.,0,Cellar Vault Games,1081820
71,Blood And Mead,0,0,0,,"Action, Adventure, Indie, RPG","Single-player, Full controller support",,,"A crazy drunk Viking sets off on epic adventure across a vast ancient land filled with action and mystery. Craft Mead and battle Vikings, demons and the Norse Gods themselves in this classic 2D adventure platformer.",0,Lost Relic Games,1081830
72,Anonymous Agony: File #1 - Contamination,0,7,1,299,"Action, Adventure, Indie, RPG, Simulation","Single-player, Steam Achievements, Partial Controller Support, Stats",,"Jun 12, 2019","After Haze's sister is sexually assaulted by an online predator, he begins using her online handle to bait other predators to his home to murder. || Dr. James Samson struggles to help a young victim of an assault while fighting corrupt hospital politics and practices.",18,Coded Emotion,1081840
73,Artemis: God-Queen of The Hunt,0,8,1,799,"Action, Adventure, Indie",Single-player,,"May 29, 2019","Olympia is not for the faint of heart. Explore, hunt, and survive (or try) in this ultra-hard platformer that focuses on being airborne.",0,James Leakos,1081850
74,WarForwards,7,13,0,999,"Action, Indie","Single-player, Steam Achievements, Steam Cloud",,"Aug 1, 2019","WarForwards - It's an action game with dynamic gunplay in close quarters, inspired by the film &quot;John Wick&quot; and transferred to the 2D Top-Down Shooter format.",0,Roman Pak,1081870
75,????????????,0,0,0,399,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements",,"Jun 27, 2019","A group of people who didn't know each other found a dead body in a haunted house called ?€?Death Inn?€?. And when this group of people returned to the lobby again, ready to leave the place,The door has was no longer there......",0,????????????,1081880
76,BonVoyage!,7,12,1,499,"Adventure, Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards",,"Jun 20, 2019",BonVoyage! is a drag tile puzzle game. Help stranded knights navigate floating islands by reconstructing path in challenging levels.,0,Boris Zapotocky,1081890
77,Fancy Skiing: Speed,0,0,1,999,"Adventure, Sports",Single-player,,"Jun 7, 2019","&quot;Fancy Skiing&quot; is a series of games developed by Hash Technology, which has been welcomed by players around the world. ?€?Compared to the earliest version ?€?Fancy Skiing VR?€?, &quot;Fancy Skiing: Speed&quot; has been made some changes, added a level mode, and set up a world...",0,Hash Technology,1081910
78,Il Sole e la Luna,0,0,0,199,"Action, Adventure, Indie, RPG, Strategy",Single-player,,"Jun 4, 2019","Adventure Fantasy RPG IL SOLE E LA LUNA Spectacular RPG set in a fantasy era! Choose your class: hero, warrior, magician, priest. Level up, develop your equipment, discover lots of secrets, monsters to hunt, find all elemental weapons and defeat mighty gods! Help Sunny and Moony save the kingdom from an unexpected threat!",0,UNGame Productor,1081960
79,Ballade2: the Celestial Promise / ?????????2????????????????????€,0,0,0,599,"Adventure, Indie, RPG","Single-player, Steam Cloud",,"May 24, 2019",????????????????????????????€?,0,286studio,1080990
80,Blockus' Adventures,0,1,0,99,"Casual, Indie",Single-player,,"May 28, 2019","In this indie platformer you will push your reflexes to the limit. Jump through nine levels of pixelated madness to reach the final boss, The Octagon! Evade his drones along the way and hope to survive his hardest trials!",0,Adrian Ciotinga,1081020
81,StreetRoyaleZ,0,0,0,1899,"Action, Early Access","Multi-player, PvP, Online PvP, Steam Cloud",,"Oct 2, 2019",StreetRoyaleZ is a Battle Royale Shooter with different characters created by StreetLordZ. The Mixamo Character Pack provided by Mixamo.,18,StreetLordZ,1081030
82,Twin Peaks VR,6,20,6,999,"Adventure, Casual, Indie","Single-player, Steam Achievements",,"Dec 12, 2019","Twin Peaks VR brings people into the world of Twin Peaks using the immersive technology of VR. Based on the iconic television series created by David Lynch and Mark Frost, players will be able to experience several locations from the show including the Red Room, Glastonbury Grove, Sheriff's Department, Glass Box Observation and more.",0,Revog Games,1081040
83,Gooberries,0,2,0,999,"Adventure, Casual, Indie, RPG, Simulation, Strategy","Single-player, Full controller support",,"Mar 3, 2021",Design and build a universe of tiny terrariums in this quirky and futuristic farm sim and management game with it's goal set on automation. With a little time and tending you'll unlock everything required to fully automate your terrariums and turn your creation into a berry producing machine.,0,Ryan Frank,1081070
84,H Chan: Girl,0,5,1,199,"Casual, Indie, Simulation","Single-player, Steam Achievements",,"May 27, 2019","This is a fantastic game, Support for extended images, Dynamic picture, Get more fun from the picture !",0,HGames,1081090
85,Insurgence - Second Assault,7,12,0,799,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud",,"Feb 27, 2020",Insurgence - Second Assault is a follow-up sequel to Insurgence - Chains of Renegade. Features new characters and stories from two different points of view.,0,Platonic Game Studio,1081100
86,Milly the dog,0,0,1,299,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support",,"Jun 6, 2019",Discover an impressive world : Child drawn animated animal characters living in a real pictures and comic style mixed world with pixel art details and aesthetic scenery elements. The best game to introduce children to play videogames.,0,Vial games,1081110
87,hoVRboard,7,19,1,1199,"Action, Indie, Racing, Simulation, Sports",Single-player,,"Sep 13, 2019",Extreme VR freeriding with a unique physics-based locomotion method ?€? Explore three open-world-like levels and race your way through &gt;60 challenges! Do tricks! Build your speed boost! Grind on rails! Blast away obstacles! Defy gravity!,0,TomyHorst,1081120
88,Zombies war,0,0,2,199,"Action, Adventure, Indie",Single-player,,"May 21, 2019","The player is in a desolate area,They're surrounded by zombies,Players are free to switch between first and third person,Players are free to explore their surroundings,Find supplies. Find weapons. Kill the zombies,Try your best to survive for a long time.",0,Nico,1081140
89,Into The Core,0,0,0,0,Indie,"Single-player, Partial Controller Support",,"May 24, 2019","A gravity-based puzzle game that will push your mind to always think and evolve. Hard but fair, constantly introduces new concepts for the player to overcome. For those who want to challenge themselves, and love to think.",0,"Amnon Levi, Ben Chen, Bar Alon, Ofir Green",1081160
90,STRASHILKA,0,0,0,199,"Action, Adventure, Indie",Single-player,,"Jul 29, 2019",STRASHILKA - MEAN FEAR.,0,reqtion,1081170
91,Ninja Roquinexu,0,2,0,399,"Action, Indie","Single-player, Steam Achievements, Steam Cloud",,"May 30, 2019","You have challenged a criminal Syndicate, but are you strong enough to make it all the way up to the end?",0,Alexander Saiborg,1081190
92,Truck the System,0,1,0,799,"Action, Indie, Racing, Simulation, Sports","Single-player, Steam Workshop, Steam Leaderboards",,"Sep 11, 2020",Build your truck. Race through player-made skill courses. Fail miserably. Take out your frustrations with missiles and miniguns.,0,jorgen games Ltd,1081200
